1|-125760|38115|1240
10|-120191|38528|1409
11|-120368|39716|1357
12|-122248|40986|1169
13|-122879|42406|944
14|-120381|44483|368
15|-120147|44672|360
16|-119649|45706|386
17|-119649|46026|386
18|-119645|46921|386
19|-119663|52425|-992
2|-125522|38115|1174
20|-118706|46936|363
21|-118703|47432|444
22|-117830|47413|444
23|-117201|47408|444
24|-115805|47455|498
25|-115080|47113|498
26|-112596|47104|51
27|-112583|49244|-492
28|-110544|49280|-1139
29|-112621|44953|-492
3|-125477|38676|1173
30|-110455|44936|-1151
31|-115710|46816|498
32|-116853|46562|363
33|-117811|46921|363
34|-117480|46683|363
35|-115661|45201|498
36|-115649|44642|498
37|-115875|44320|498
38|-118078|44347|542
39|-119033|44296|538
4|-124567|38754|1173
40|-117060|44248|538
41|-116722|45389|363
42|-120558|45203|394
43|-120153|46012|342
44|-120295|46909|402
45|-119271|46672|363
46|-118712|47932|452
47|-117819|47970|452
48|-117175|47880|451
49|-116951|48031|453
5|-124358|38109|1174
50|-114937|45187|512
51|-114925|44847|512
52|-115887|43697|510
53|-115641|43637|511
54|-118113|45022|363
55|-119369|45225|363
56|-118340|46074|348
57|-117760|46114|348
58|-117445|46016|345
59|-118070|43534|541
6|-124518|37565|1173
60|-118369|43532|541
61|-119002|43554|541
62|-118994|43200|541
63|-117769|43526|541
64|-117156|43546|541
65|-117151|43257|541
66|-117726|42891|679
67|-118070|42888|711
68|-118434|42886|679
69|-118423|42439|821
7|-125040|37574|1141
70|-118058|42443|821
71|-117736|42425|821
72|-118080|41759|825
73|-116009|41740|1273
74|-113675|41745|1721
75|-111660|41740|2169
8|-125517|37584|1173
9|-122739|38110|1434
__EOF
