1|186739|-75536|-2828
10|182424|-79728|-2734
11|182432|-77750|-2733
12|181379|-77106|-2731
13|181285|-75422|-2734
14|178916|-75346|-2734
15|178885|-74126|-2733
16|177909|-75333|-2734
17|177950|-78192|-3381
18|177957|-81035|-4028
19|180831|-81008|-4675
2|185332|-75665|-2734
20|183660|-80995|-5322
21|186509|-81039|-5969
22|189382|-80990|-6616
23|189396|-83812|-5969
24|186527|-83813|-5322
25|183691|-83824|-5969
26|181111|-83808|-6597
27|181043|-82316|-6597
28|177867|-82459|-7222
29|177862|-83337|-7222
3|184791|-76290|-2734
30|178303|-83409|-7222
31|178303|-85562|-7218
32|179850|-85589|-7219
33|180985|-85593|-7222
34|182129|-85577|-7221
35|183929|-85581|-7221
36|185639|-85576|-7221
37|187535|-85575|-7218
38|189261|-85578|-7218
39|191013|-85572|-7219
4|184628|-78533|-2734
5|183405|-78688|-2734
6|182929|-78687|-2731
7|181395|-78683|-2731
8|181381|-80221|-2731
9|181379|-80945|-2732
__EOF
