1|-11824|236428|-3265
10|-14670|234479|-3014
11|-15053|235888|-3327
12|-13588|235832|-3272
13|-13308|237763|-3207
14|-13792|236725|-3141
15|-14131|238536|-3197
16|-14623|237702|-3134
17|-15359|236668|-3087
18|-15309|234180|-2892
19|-16475|234810|-2789
2|-9881|237178|-3108
20|-16708|234221|-2638
21|-17693|234566|-2612
22|-17592|235568|-2792
23|-18121|236783|-2862
24|-19188|237815|-2839
25|-20181|238290|-2737
26|-20078|239535|-2859
27|-21017|240578|-2827
28|-19848|240653|-2806
29|-21341|241779|-2935
3|-10302|238165|-3040
30|-22025|242886|-3095
31|-20459|242778|-3172
32|-23106|244502|-3008
33|-15668|238374|-3262
34|-16361|237168|-3214
35|-17456|238743|-3328
36|-18296|241743|-3304
37|-23326|245615|-3107
38|-24116|246455|-3083
39|-24236|245745|-3059
4|-10424|237435|-3156
40|-24306|244705|-3035
41|-24266|248888|-3095
42|-25110|249650|-2883
43|-23126|249996|-3246
44|-24100|251517|-3371
45|-27247|251335|-2371
46|-27293|254538|-2089
47|-25991|254566|-2145
48|-28300|254374|-2167
49|-28741|255039|-2167
5|-11316|236862|-3216
50|-27453|256708|-1929
51|-26486|256699|-1938
52|-28138|256682|-1948
53|-22324|250718|-3164
54|-21048|250863|-3140
55|-19653|249384|-3237
56|-17739|249790|-3213
57|-17992|252089|-3189
58|-20379|252265|-3141
59|-21862|251880|-3344
6|-11569|237958|-3122
60|-21246|253650|-3251
61|-20004|256206|-3179
62|-18833|254687|-3148
63|-17486|255676|-3179
64|-15656|254852|-3170
65|-17031|254314|-3207
66|-18553|253677|-3124
67|-16193|252807|-3076
68|-16843|251091|-3172
69|-15757|250967|-2965
7|-12747|238530|-3280
8|-12518|237470|-3200
9|-13135|236288|-3281
__EOF
