1|-19056|13521|-4901
10|-10681|13508|-4900
11|-10674|14514|-4903
12|-9575|14549|-4903
13|-8782|14603|-4901
14|-9538|13538|-4903
15|-8790|13492|-4901
16|-11340|14662|-4903
17|-11500|15582|-4901
18|-10052|15645|-4903
19|-9896|16152|-4903
2|-18134|13555|-4903
20|-8754|16202|-4900
21|-11646|16389|-4903
22|-11568|17121|-4903
23|-10896|17236|-4903
24|-9651|17251|-4903
25|-9492|18087|-4903
26|-8780|18115|-4901
27|-8789|19219|-4900
28|-8853|20687|-4903
29|-9548|20787|-4903
3|-17907|13791|-4903
30|-9521|21671|-4901
31|-10602|21689|-4903
32|-10755|21934|-4903
33|-12472|22074|-4901
34|-12542|23753|-4903
35|-13372|23825|-4901
36|-11775|23750|-4903
37|-11668|23075|-4903
38|-10391|23043|-4901
39|-9636|23096|-4903
4|-16740|13826|-4901
40|-9602|23767|-4903
41|-8798|23821|-4900
42|-9995|20669|-4903
43|-10037|19606|-4901
44|-11094|19646|-4903
45|-11232|20608|-4903
46|-12509|20595|-4901
47|-12570|19251|-4903
48|-13376|19195|-4901
49|-13390|18135|-4901
5|-15596|13821|-4903
50|-10899|18121|-4901
51|-12349|18112|-4903
52|-14486|18124|-4901
53|-14497|17195|-4903
54|-16106|17080|-4903
55|-16110|16227|-4901
56|-14821|16181|-4903
57|-14758|14994|-4901
58|-15509|14945|-4901
59|-17019|14920|-4903
6|-15433|13552|-4903
60|-17250|14626|-4903
61|-17916|14618|-4901
62|-13389|14547|-4903
63|-13391|15589|-4901
64|-16577|17243|-4903
65|-16682|17594|-4903
66|-16547|18102|-4902
67|-17800|17580|-4901
68|-18744|17256|-4903
69|-19050|17421|-4903
7|-14485|13508|-4901
70|-19102|18093|-4901
71|-18831|16541|-4903
72|-17811|15704|-4901
73|-19048|16358|-4903
74|-19090|15284|-4901
8|-13390|13501|-4900
9|-12275|13504|-4902
__EOF
